Date,Price
15-1-1,218.50
15-2-1,254.10
15-3-1,244.10
15-4-1,235.80
15-5-1,229.80
15-6-1,264.10
15-7-1,283.70
15-8-1,229.50
15-9-1,235.90
15-10-1,311.20
15-11-1,378.00
15-12-1,430.00
16-1-1,369.80
16-2-1,436.20
16-3-1,415.70
16-4-1,448.50
16-5-1,528.90
16-6-1,670.00
16-7-1,621.90
16-8-1,573.90
16-9-1,608.10
16-10-1,698.70
16-11-1,742.50
16-12-1,963.40
17-1-1,965.50
17-2-1,1189.30
17-3-1,1079.10
17-4-1,1351.90
17-5-1,2303.30
17-6-1,2480.60
17-7-1,2883.30
17-8-1,4735.10
17-9-1,4360.60
17-10-1,6451.20
17-11-1,9946.80
17-12-1,13850.40
18-1-1,10265.40
18-2-1,10333.90
18-3-1,6938.20
18-4-1,9245.10
18-5-1,7502.60
18-6-1,6398.90
18-7-1,7729.40
18-8-1,7033.80
18-9-1,6635.20
18-10-1,6365.90
18-11-1,4039.70
18-12-1,3709.40
19-1-1,3437.20
19-2-1,3816.60
19-3-1,4102.30
19-4-1,5320.80
19-5-1,8558.30
19-6-1,10818.60
19-7-1,10082.00
19-8-1,9594.40
19-9-1,8284.30
19-10-1,9152.60
19-11-1,7546.60
19-12-1,7196.40
20-1-1,9349.10
20-2-1,8543.70
20-3-1,6412.50
20-4-1,8629.00
20-5-1,9454.80
20-6-1,9135.40
20-7-1,11333.40
20-8-1,11644.20
20-9-1,10776.10
20-10-1,13797.30
20-11-1,19698.10
20-12-1,28949.40
21-1-1,33108.10
21-2-1,45164.00
21-3-1,58763.70
21-4-1,57720.30
21-5-1,37298.60
21-6-1,35026.90
21-7-1,41553.70
21-8-1,47130.40
21-9-1,43823.30
21-10-1,61309.60
21-11-1,56882.90
21-12-1,46219.50
22-1-1,38498.60
22-2-1,43188.20
22-3-1,45525.00
22-4-1,37650.00
22-5-1,31793.40
22-6-1,19926.60
22-7-1,23303.40
22-8-1,20043.90
22-9-1,19423.00
22-10-1,20496.30
22-11-1,17163.90
22-12-1,16537.40
23-1-1,23125.10
23-2-1,23130.50
23-3-1,28310.70
